Disc,Education,Job_Name,jobs
"<p>Flight attendants provide routine services and respond to emergencies to ensure the safety and comfort of airline passengers.</p>,<p>Flight attendants typically do the following:</p>,<p>Airlines are required by law to provide flight attendants for the safety and security of passengers. The primary job of flight attendants is to keep passengers safe, ensuring that everyone follows security regulations and that the flight deck is secure. Flight attendants also try to make flights comfortable and stress free for passengers. At times, they may deal with passengers who display disruptive behavior.</p>,<p>About 1 hour before takeoff, the captain (pilot) may conduct a preflight briefing with flight attendants about relevant flight information, including the number of hours the flight will take, the route the plane will travel, and weather conditions. Flight attendants check that emergency equipment is working, the cabin is clean, and there is an adequate supply of food and beverages on board. Flight attendants greet passengers as they board the aircraft, direct them to their seats, and provide assistance as needed.</p>,<p>Flight attendants demonstrate the proper use of safety equipment to all passengers, either in person or through a video recording before the plane takes off. They also check that seatbelts are fastened, seats are locked in the upright position, and all carry-on items are properly stowed in accordance with federal law and company policy.</p>,<p>A flight attendant’s most important responsibility, however, is to help passengers in the event of an emergency. This responsibility ranges from dealing with unruly passengers to performing first aid, fighting fires, protecting the flight deck, and directing evacuations. Flight attendants also answer questions about the flight, attend to passengers with special needs, and generally assist all passengers as needed.</p>,<p>Before the plane lands, flight attendants once again ensure that seatbelts are fastened, seats are locked in the upright position, and all carry-on and galley items are properly stowed.</p>,<p>Before they leave the plane, flight attendants survey the condition of the cabin. They submit reports on any medical, safety, or security issues that may have occurred during the flight.</p>",    High school diploma or equivalent,    Flight Attendants,"<li>Participate in preflight briefings with the <a href=""/ooh/transportation-and-material-moving/airline-and-commercial-pilots.htm"">pilots</a>, to discuss cabin conditions and flight details</li>,<li>Conduct preflight inspections of emergency equipment</li>,<li>Demonstrate the use of safety equipment and emergency equipment</li>,<li>Ensure that passengers have their seatbelts fastened when required and that all other safety requirements are observed</li>,<li>Serve and sell beverages, meals, or snacks</li>,<li>Take care of passengers’ needs, particularly those with special needs</li>,<li>Reassure passengers during the flight, such as when the aircraft hits turbulence</li>,<li>Administer and coordinate emergency medical care, as needed</li>,<li>Provide direction to passengers, including how to evacuate the aircraft in an emergency</li>"
"<p>Environmental engineers use the principles of engineering, soil science, biology, and chemistry to develop solutions to environmental problems. They work to improve recycling, waste disposal, public health, and water and air pollution control. They also address global issues, such as unsafe drinking water, climate change, and environmental sustainability.</p>,<p>Environmental engineers typically do the following:</p>,<p>Environmental engineers conduct hazardous-waste management studies in which they evaluate the significance of a hazard and advise on treating and containing it. They also design systems for municipal and industrial water supplies and industrial wastewater treatment, and research the environmental impact of proposed construction projects. Environmental engineers in government develop regulations to prevent mishaps.</p>,<p>Some environmental engineers study ways to minimize the effects of acid rain, climate change, automobile emissions, and ozone depletion. They also collaborate with environmental scientists, urban and regional planners, hazardous-waste technicians, and other engineers, as well as with specialists such as experts in law and business, to address environmental problems and environmental sustainability. For more information, see the job profiles on <a href=""/ooh/life-physical-and-social-science/environmental-scientists-and-specialists.htm""><u>environmental scientists and specialists</u></a>, <a href=""/ooh/construction-and-extraction/hazardous-materials-removal-workers.htm""><u>hazardous materials removal workers</u></a>, <a href=""/ooh/legal/lawyers.htm""><u>lawyers</u></a>, and <a href=""/ooh/life-physical-and-social-science/urban-and-regional-planners.htm""><u>urban and regional planners</u></a>.</p>",    Bachelor's degree,    Environmental Engineers,"<li>Prepare, review, and update environmental investigation reports</li>,<li>Design projects that lead to environmental protection, such as water reclamation facilities or air pollution control systems</li>,<li>Obtain, update, and maintain plans, permits, and standard operating procedures</li>,<li>Provide technical support for environmental remediation projects and for legal actions</li>,<li>Analyze scientific data and do quality-control checks</li>,<li>Monitor the progress of environmental improvement programs</li>,<li>Inspect industrial and municipal facilities and programs in order to ensure compliance with environmental regulations</li>,<li>Advise corporations and government agencies about procedures for cleaning up contaminated sites</li>"
"<p>Air traffic controllers coordinate the movement of aircraft to maintain safe distances between them.</p>,<p>Air traffic controllers typically do the following:</p>,<p>Air traffic controllers’ primary concern is safety, but they also must direct aircraft efficiently to minimize delays. They manage the flow of aircraft into and out of the airport airspace, guide pilots during takeoff and landing, and monitor aircraft as they travel through the skies. Air traffic controllers use radar, computers, or visual references to monitor and direct the movement of the aircraft in the skies and ground traffic at airports.</p>,<p>Controllers usually manage multiple aircraft at the same time and must make quick decisions to ensure the safety of aircraft. For example, a controller might direct one aircraft on its landing approach while providing another aircraft with weather information.</p>,<p>The following are examples of types of air traffic controllers:</p>,<p><strong><em>Tower controllers</em></strong> direct the movement of vehicles, including aircraft, on runways and taxiways. They check flight plans, give pilots clearance for takeoff or landing, and direct the movement of aircraft and other traffic on the runways and in other parts of the airport. Most work from control towers, observing the traffic they control. Tower controllers manage traffic from the airport to a radius of 3 to 30 miles out.</p>,<p><strong><em>Approach and departure controllers</em></strong> ensure that aircraft traveling within an airport’s airspace maintain minimum separation for safety. They give clearances to enter controlled airspace and hand off control of aircraft to en route controllers. Approach and departure controllers use radar equipment to monitor flight paths and work in buildings known as Terminal Radar Approach Control Centers (TRACONs). They also inform pilots about weather conditions and other critical notices. Terminal approach controllers assist the aircraft until it reaches the edge of the facility’s airspace, usually about 20 to 50 miles from the airport and up to about 17,000 feet in the air.</p>,<p><strong><em>En route controllers</em></strong> monitor aircraft once they leave an airport’s airspace. They work at air route traffic control centers located throughout the country, which typically are not located at airports. Each center is assigned an airspace based on the geography and air traffic in the area in which it is located. As an airplane approaches and flies through a center’s airspace, en route controllers guide the airplane along its route. They may adjust the flight path of aircraft to avoid collisions and for safety in general. Route controllers direct the aircraft for the bulk of the flight before handing to terminal approach controllers.</p>,<p>Some air traffic controllers work at the Air Traffic Control Systems Command Center, where they monitor traffic within the entire national airspace. When they identify a bottleneck, they provide instructions to other controllers, helping to prevent traffic jams. Their objective is to keep traffic levels manageable for the airports and for en route controllers.</p>",    Associate's degree,    Air Traffic Controllers,"<li>Monitor and direct the movement of aircraft on the ground and in the air</li>,<li>Control all ground traffic at airport runways and taxiways</li>,<li>Issue landing and takeoff instructions to <a href=""/ooh/transportation-and-material-moving/airline-and-commercial-pilots.htm"">pilots</a></li>,<li>Transfer control of departing flights to other traffic control centers and accept control of arriving flights</li>,<li>Inform pilots about weather, runway closures, and other critical information</li>,<li>Alert airport response staff in the event of an aircraft emergency</li>"
"<p>Environmental science and protection technicians monitor the environment and investigate sources of pollution and contamination, including those affecting public health.</p>,<p>Environmental science and protection technicians typically do the following:</p>,<p>Many environmental science and protection technicians work under the supervision of <a href=""/ooh/life-physical-and-social-science/environmental-scientists-and-specialists.htm""><u>environmental scientists and specialists</u></a>, who direct the technicians’ work and evaluate their results. In addition, technicians often work on teams with scientists, engineers, and technicians in other fields to solve complex problems related to environmental degradation and public health. For example, they may work on teams with <a href=""/ooh/life-physical-and-social-science/geoscientists.htm""><u>geoscientists</u></a> and <a href=""/ooh/life-physical-and-social-science/hydrologists.htm""><u>hydrologists</u></a> to manage the cleanup of contaminated soils and ground water around an abandoned bomb-manufacturing site.</p>,<p>Most environmental science and protection technicians work for consulting firms, state or local governments, or testing laboratories.</p>,<p>In <strong>consulting firms</strong>, environmental science and protection technicians help clients monitor and manage the environment and comply with regulations. For example, they help businesses develop cleanup plans for contaminated sites, and they recommend ways to reduce, control, or eliminate pollution. Also, environmental science and protection technicians conduct feasibility studies for, and monitor the environmental impact of, new construction projects.</p>,<p>In <strong>state and local governments</strong>, environmental science and protection technicians inspect businesses and public places, and investigate complaints related to air quality, water quality, and food safety. They may be involved with the enforcement of environmental regulations. They also may help protect the environment and people’s health by performing environmental impact studies of new construction. Or they may evaluate the environmental health of sites that may contaminate the environment, such as abandoned industrial sites.</p>,<p>In <strong>testing laboratories</strong>, environmental science and protection technicians collect and track samples, and perform tests that are often similar to those carried out by <a href=""/ooh/life-physical-and-social-science/chemical-technicians.htm""><u>chemical technicians</u></a>, <a href=""/ooh/life-physical-and-social-science/biological-technicians.htm""><u>biological technicians</u></a>, or <a href=""/ooh/life-physical-and-social-science/microbiologists.htm""><u>microbiologists</u></a>. However, in contrast to the work done by these science workers, that done by environmental science and protection technicians focuses on topics that are directly related to the environment and how it affects human health.</p>,<p>Environmental science and protection technicians typically specialize either in laboratory testing or in fieldwork and sample collection. However, it is common for laboratory technicians to occasionally collect samples from the field and for fieldworkers to do some work in a laboratory.</p>",    Associate's degree,    Environmental Science and Protection Technicians,"<li>Inspect establishments, including public places and businesses, to ensure that there are no environmental, health, or safety hazards</li>,<li>Set up and maintain equipment used to monitor pollution levels, such as remote sensors that measure emissions from smokestacks</li>,<li>Collect samples of air, soil, water, and other materials for laboratory analysis</li>,<li>Clearly label, track, and ensure the integrity of samples being transported to the laboratory</li>,<li>Use equipment, such as microscopes, to evaluate and analyze samples for the presence of pollutants or other contaminants</li>,<li>Prepare charts and reports that summarize test results</li>,<li>Discuss test results and analyses with clients</li>,<li>Verify compliance with regulations that help prevent pollution</li>"
"<p>Metal and plastic machine workers set up and operate machines that cut, shape, and form metal and plastic materials or pieces.</p>,<p>Metal and plastic machine workers typically do the following:</p>,<p>Consumer products are made with many metal and plastic parts. These parts are produced by machines that are operated by metal and plastic machine workers. In general, these workers are separated into two groups: those who set up machines for operation and those who operate machines during production. Many workers, however, perform both tasks.</p>,<p>Although many workers both set up and operate machines, some may specialize in being a machine setter or a machine operator and tender.</p>,<p><strong><em>Machine setters</em></strong>, or setup workers, prepare the machines before production, perform test runs, and, if necessary, adjust and make minor repairs to the machinery before and during operation.</p>,<p>If, for example, the cutting tool inside a machine becomes dull after extended use, it is common for a setter to remove the tool, use a grinder or file to sharpen it, and reinstall it into the machine. New tools are produced by <a href=""/ooh/production/machinists-and-tool-and-die-makers.htm"">tool and die makers</a>.</p>,<p>After installing the tools into a machine, setup workers often produce the initial batch of goods, inspect the products, and turn the machine over to an operator.</p>,<p><strong><em>Machine operators and tenders</em></strong> monitor the machinery during operation.</p>,<p>After a setter prepares a machine for production, an operator observes the machine and the products it makes. Operators may have to load the machine with materials for production or adjust the machine’s speeds during production. They must periodically inspect the parts a machine produces. If they detect a minor problem, operators may fix it themselves. If the repair is more serious, they may have an <a href=""/ooh/installation-maintenance-and-repair/industrial-machinery-mechanics-and-maintenance-workers-and-millwrights.htm"">industrial machinery mechanic</a> fix it.</p>,<p>Setters, operators, and tenders are usually identified by the type of machine they work with. Job duties generally vary with the size of the manufacturer and the type of machine being operated. Although some workers specialize in one or two types of machinery, many are trained to set up or operate a variety of machines. Machine operators are often able to control multiple machines at the same time because of increased automation.</p>,<p>In addition, production techniques, such as team-oriented “lean” manufacturing, require machine operators to rotate between different machines. Rotating assignments results in more varied work but also requires workers to have a wide range of skills.</p>,<p>The following are examples of types of metal and plastic machine workers:</p>,<p><strong><em>Computer-controlled machine tool operators</em></strong> operate computer-controlled machines or robots to perform functions on metal or plastic workpieces.</p>,<p><strong><em>Computer numerically controlled machine tool programmers</em></strong> develop computer programs to control the machining or processing of metal or plastic parts by automatic machine tools, equipment, or systems.</p>,<p><strong><em>Extruding and drawing machine setters, operators, and tenders</em></strong> set up or operate machines to extrude (pull out) thermoplastic or metal materials in the form of tubes, rods, hoses, wire, bars, or structural shapes.</p>,<p><strong><em>Forging machine setters, operators, and tenders</em></strong> set up or operate machines that shape or form metal or plastic parts.</p>,<p><strong><em>Rolling machine setters, operators, and tenders</em></strong> set up or operate machines to roll steel or plastic or to flatten, temper, or reduce the thickness of materials.</p>,<p><strong><em>Cutting, punching, and press machine setters, operators, and tenders</em></strong> set up or operate machines to saw, cut, shear, notch, bend, or straighten metal or plastic materials.</p>,<p><strong><em>Drilling and boring machine tool setters, operators, and tenders</em></strong> set up or operate drilling machines to drill, bore, mill, or countersink metal or plastic workpieces.</p>,<p><strong><em>Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders</em></strong> set up or operate grinding and related tools that remove excess material from surfaces, sharpen edges or corners, or buff or polish metal or plastic workpieces.</p>,<p><strong><em>Lathe and turning machine tool setters, operators, and tenders</em></strong> set up or operate lathe and turning machines to turn, bore, thread, or form metal or plastic materials, such as wire or rod.</p>,<p><strong><em>Milling and planing machine setters, operators, and tenders</em></strong> set up or operate milling or planing machines to shape, groove, or profile metal or plastic workpieces.</p>,<p><strong><em>Metal-refining furnace operators and tenders</em></strong> operate or tend furnaces, such as gas, oil, coal, electric-arc or electric-induction, open-hearth, and oxygen furnaces. These furnaces may be used to melt and refine metal before casting or to produce specified types of steel.</p>,<p><strong><em>Pourers and casters</em></strong> operate hand-controlled mechanisms to pour and regulate the flow of molten metal into molds to produce castings or ingots.</p>,<p><strong><em>Model makers</em></strong> set up and operate machines, such as milling and engraving machines to make working models of metal or plastic objects.</p>,<p><strong><em>Patternmakers</em></strong> lay out, machine, fit, and assemble castings and parts to metal or plastic foundry patterns and core molds.</p>,<p><strong><em>Foundry mold and coremakers</em></strong> make or form wax or sand cores or molds used in the production of metal castings in foundries.</p>,<p><strong><em>Molding, coremaking, and casting machine setters, operators, and tenders</em></strong> set up or operate metal or plastic molding, casting, or coremaking machines to mold or cast metal or thermoplastic parts or products.</p>,<p><strong><em>Multiple machine tool setters, operators, and tenders</em></strong> set up or operate more than one type of cutting or forming machine tool or robot.</p>,<p><strong><em>Welding, soldering, and brazing machine setters, operators, and tenders</em></strong> (including workers who operate laser cutters or laser-beam machines) set up or operate welding, soldering, or brazing machines or robots that weld, braze, solder, or heat treat metal products, components, or assemblies.</p>,<p><strong><em>Heat treating equipment setters, operators, and tenders</em></strong> set up or operate heating equipment, such as heat treating furnaces, flame-hardening machines, induction machines, soaking pits, or vacuum equipment, to temper, harden, anneal, or heat-treat metal or plastic objects.</p>,<p><strong><em>Plating and coating machine setters, operators, and tenders</em></strong> set up or operate plating or coating machines to coat metal or plastic products with zinc, copper, nickel, or some other metal to protect or decorate surfaces (includes electrolytic processes).</p>",    ,    Metal and Plastic Machine Workers,"<li>Set up machines according to blueprints</li>,<li>Monitor machines for unusual sound or vibration</li>,<li>Insert material into machines, manually or with a hoist</li>,<li>Operate metal or plastic molding, casting, or coremaking machines</li>,<li>Adjust machine settings for temperature, cycle times, and speed and feed rates</li>,<li>Remove finished products and smooth rough edges and imperfections</li>,<li>Test and compare finished workpieces to specifications</li>,<li>Remove and replace dull cutting tools</li>,<li>Document production numbers in a computer database</li>"
"<p>Mathematicians and statisticians analyze data and apply mathematical and statistical techniques to help solve real-world problems in business, engineering, healthcare, or other fields.</p>,<p>Mathematicians and statisticians typically do the following:</p>,<p>Mathematicians and statisticians apply theories and techniques, such as mathematical or statistical modeling, to solve practical problems. Typically, they work with individuals in other occupations to solve these problems. For example, they may work with <a href=""/ooh/life-physical-and-social-science/chemists-and-materials-scientists.htm""><u>chemists</u></a>, <a href=""/ooh/life-physical-and-social-science/chemists-and-materials-scientists.htm""><u>materials scientists</u></a>, and <a href=""/ooh/architecture-and-engineering/chemical-engineers.htm""><u>chemical engineers</u></a> to analyze the effectiveness of new drugs. Others may work with <a href=""/ooh/arts-and-design/industrial-designers.htm""><u>industrial designers</u></a> to study the aerodynamic characteristics of new automobiles.</p>,<p>To work on these problems, mathematicians and statisticians must first collect data. Statisticians design surveys, questionnaires, experiments, and opinion polls to collect the data they need. Surveys may be mailed, conducted over the phone, collected online, or gathered through some other means.</p>,<p>Some surveys, such as the U.S. census, include data from nearly everyone. For most surveys and opinion polls, however, statisticians use a sampling method to collect data from some people in a particular group. Statisticians determine the type and size of the sample to be surveyed or polled.</p>,<p>After the data are collected, mathematicians and statisticians use specialized statistical software to analyze data. In their analyses, mathematicians and statisticians identify trends and relationships within the data. They also conduct tests to determine the data’s validity and to account for high survey nonresponse rates or sampling error. Some may help create new software to analyze data more accurately and efficiently.</p>,<p>Mathematicians and statisticians present the findings from their analyses and discuss the data’s limitations in order to prevent inaccurate conclusions from being drawn. They may present written reports, tables, charts, and graphs to other team members and to clients.</p>,<p>Mathematicians and statisticians work in many fields, such as education, marketing, psychology, sports, or any other field that requires the collection and analysis of data. In particular, government, healthcare, and research and development companies employ many statisticians.</p>,<p><strong><em>Government.</em></strong> Mathematicians and statisticians working in government develop and analyze surveys that collect a variety of data, including unemployment rates, wages, and other estimates pertaining to jobs and workers. Others help to figure out the average level of pesticides in drinking water, the number of endangered species living in a particular area, or the number of people who have a certain disease.</p>,<p><strong><em>Healthcare</em>. </strong>Statisticians known as biostatisticians or biometricians work in pharmaceutical companies, public health agencies, or hospitals. They may design studies to test whether drugs successfully treat diseases or medical conditions. They may also help identify the sources of outbreaks of illnesses in humans and animals.</p>,<p><strong><em>Research and development</em>.</strong> Mathematicians and statisticians design experiments for product testing and development. For instance, they may help design experiments to see how car engines perform when exposed to extreme weather conditions. Some may analyze consumer data to help develop marketing strategies and prices for consumer goods. </p>,<p><strong><em>Colleges and universities.</em></strong> Mathematicians and statisticians working in a postsecondary education institution may study theoretical or abstract concepts in mathematics or statistics. They identify, research, and resolve unexplained issues in mathematics and are concerned primarily with exploring new mathematical or statistical theories to increase knowledge and understanding about the field.</p>,<p>However, the mathematician occupation is a relatively small one, and many people with a degree in mathematics or who develop mathematical theories and models may not be formally known as mathematicians. Instead, they work in related fields and professions. In the computer systems design and related services industries, for example, they may be known as <a href=""/ooh/computer-and-information-technology/computer-programmers.htm""><u>computer programmers</u></a> or <a href=""/ooh/computer-and-information-technology/computer-systems-analysts.htm""><u>systems analysts</u></a>. In finance, they may be known as <em>quantitative analysts</em>. Other industries may refer to them as <em>data scientists</em> or <em>data analysts</em>.</p>,<p><a href=""/ooh/computer-and-information-technology/computer-and-information-research-scientists.htm""><u>Computer and information research scientists</u></a>, <a href=""/ooh/life-physical-and-social-science/physicists-and-astronomers.htm""><u>physicists and astronomers</u></a>, <a href=""/ooh/life-physical-and-social-science/economists.htm""><u>economists</u></a>, <a href=""/ooh/math/actuaries.htm""><u>actuaries</u></a>, <a href=""/ooh/math/operations-research-analysts.htm""><u>operations research analysts</u></a>, <a href=""/ooh/architecture-and-engineering/home.htm""><u>engineers</u></a>, and many other occupations also use mathematics extensively.</p>,<p>Many people with a Ph.D. in mathematics, particularly theoretical mathematics, work as <a href=""/ooh/education-training-and-library/postsecondary-teachers.htm""><u>postsecondary teachers</u></a> in education institutions. They usually have a mix of teaching and research responsibilities. Some may conduct individual research or collaborate with other professors or mathematicians. Collaborators may work together at the same institution or from different locations.</p>",    Master's degree,    Mathematicians and Statisticians,"<li>Develop new mathematical rules, theories, and concepts in areas such as algebra and geometry</li>,<li>Decide what data are needed to answer specific questions or problems</li>,<li>Apply mathematical theories and techniques to solve practical problems in business, engineering, the sciences, and other fields</li>,<li>Design surveys, experiments, or opinion polls to collect data </li>,<li>Develop mathematical or statistical models to analyze data</li>,<li>Interpret data and report conclusions drawn from their analyses</li>,<li>Use data analysis to support and improve business decisions</li>"
"<p>Athletes and sports competitors participate in organized, officiated sporting events to entertain spectators.</p>,<p>Athletes and sports competitors typically do the following:</p>,<p>Many people dream of becoming a paid professional athlete. Few people, however, beat the odds and make a full-time living from professional athletics—and when they do, professional athletes often have short careers with little job security.</p>,<p>When playing a game, athletes and sports competitors must understand the strategies involved while following the rules and regulations of the sport. The events in which athletes compete include team sports, such as baseball, softball, hockey, and soccer, and individual sports, such as golf, tennis, swimming, and skiing. The level of play varies greatly. Some athletes may compete in regional competitions, while other athletes compete in national or international events.</p>,<p>Being an athlete involves more than competing in athletic events. Athletes spend most days practicing their skills and improving teamwork under the guidance of a <a href=""/ooh/entertainment-and-sports/coaches-and-scouts.htm""><u>coach</u></a> or a sports instructor. They review videotapes to critique and improve their own performance and technique. Athletes also must study their opponents' tendencies and weaknesses so as to gain a competitive advantage.</p>,<p>Some athletes work regularly with <a href=""/ooh/personal-care-and-service/fitness-trainers-and-instructors.htm""><u>fitness trainers and instructors</u></a> to gain muscle and stamina and to prevent injury. Because of the physical demands required by many sports, career-ending injuries are always a risk. Even minor injuries may put a player at risk of replacement.</p>,<p>Because competition at all levels is extremely intense and job security is always in question, many athletes train throughout the year to maintain or improve their form and technique and remain in peak physical condition. Very little downtime from the sport exists at the professional level.</p>",    No formal educational credential,    Athletes and Sports Competitors,"<li>Practice to develop and improve their skills</li>,<li>Maintain their sports equipment in good condition</li>,<li>Train, exercise, and follow special diets to stay in the best physical condition</li>,<li>Take instructions regarding strategy and tactics from coaches and other sports staff during games</li>,<li>Follow the rules of the sport during competitions and games</li>,<li>Assess their individual and team performance after each event and identify their strengths and weaknesses</li>"
"<p>Small engine mechanics inspect, service, and repair motorized power equipment. Mechanics often specialize in one type of equipment, such as motorcycles, motorboats, or outdoor power equipment.</p>,<p>Small engine mechanics typically do the following:</p>,<p> </p>,<p>Small engine mechanics work on power equipment ranging from snowmobiles to chain saws. When equipment breaks down, mechanics use many strategies to diagnose the source and extent of the problem. Small engine mechanics identify mechanical, electrical, and fuel system problems and make necessary repairs.</p>,<p>Mechanics’ tasks vary in complexity and difficulty. Maintenance inspections and repairs, for example, involve minor adjustments or the replacement of a single part. Hand calibration, piston calibration, and spark plug replacement, however, may require taking an engine apart completely. Some mechanics use computerized equipment to tune racing motorcycles and motorboats.</p>,<p>Mechanics use a variety of hand tools, including screwdrivers, wrenches, and pliers, for many common tasks. Some mechanics also may use compression gauges, ammeters, and voltmeters to test engine performance. For more complicated procedures, they commonly use pneumatic tools, which are powered by compressed air, or diagnostic equipment.</p>,<p>Although employers usually provide the more expensive tools and testing equipment, some mechanics may be required to use their own hand tools. Some mechanics have thousands of dollars invested in their tool collections.</p>,<p>The following are examples of types of small engine mechanics:</p>,<p><strong><em>Motorboat mechanics and service technicians</em></strong> maintain and repair the mechanical and electrical components of boat engines. Most of their work, whether on small outboard engines or large diesel-powered inboard motors, is performed at docks and marinas where the repair shop is located. Motorboat mechanics also may work on propellers, steering mechanisms, marine plumbing, and other boat equipment.</p>,<p><strong><em>Motorcycle mechanics</em></strong> specialize in working on motorcycles, scooters, mopeds, dirt bikes, and all-terrain vehicles. They service engines, transmissions, brakes, and ignition systems and make minor body repairs, among other tasks. Most work for dealerships, servicing and repairing specific makes and models.</p>,<p><strong><em>Outdoor power equipment and other small engine mechanics</em></strong> service and repair outdoor power equipment, such as lawnmowers, edge trimmers, garden tractors, and portable generators. Some mechanics may work on snowblowers and snowmobiles, but this work is highly seasonal and regional.</p>,<p>Technicians and mechanics who work primarily on automobiles are described in the profile on <a href=""/ooh/installation-maintenance-and-repair/automotive-service-technicians-and-mechanics.htm"">automotive service technicians and mechanics</a>.</p>,<p>Technicians who work primarily on large trucks and buses are described in the profile on <a href=""/ooh/installation-maintenance-and-repair/diesel-service-technicians-and-mechanics.htm"">diesel service technicians and mechanics</a>.</p>,<p>Technicians and mechanics who work primarily on farm equipment, construction vehicles, and rail cars are described in the profile on <a href=""/ooh/installation-maintenance-and-repair/heavy-vehicle-and-mobile-equipment-service-technicians.htm"">heavy vehicle and mobile equipment service technicians</a>.</p>",    ,    Small Engine Mechanics,"<li>Discuss equipment issues, maintenance plans, and work performed with customers</li>,<li>Perform routine engine maintenance, such as lubricating parts and replacing spark plugs</li>,<li>Test and inspect engines for malfunctioning parts</li>,<li>Adjust components according to specifications</li>,<li>Repair or replace worn, defective, or broken parts</li>,<li>Reassemble and reinstall components and engines following repairs</li>,<li>Keep records of inspections, test results, work performed, and parts used</li>"
"<p>Food and tobacco processing workers operate equipment that mixes, cooks, or processes ingredients used in the manufacturing of food and tobacco products.</p>,<p>Food and tobacco processing workers typically do the following:</p>,<p>Food and tobacco processing workers often have different duties depending on the type of machinery they use or goods they process.</p>,<p><strong><em>Food and tobacco roasting, baking, and drying machine operators and tenders</em></strong> operate machines that produce roasted, baked, or dried food or tobacco products. For example, <em>dryers of fruits and vegetables</em> operate machines that produce raisins, prunes, or other dehydrated foods. <em>Tobacco roasters</em> tend machines that cure tobacco for wholesale distribution to cigarette manufacturers and other makers of tobacco products. Others, such as <em>coffee roasters</em>, follow recipes and tend machines to produce standard or specialty coffees.</p>,<p><strong><em>Food batchmakers</em></strong> typically work in facilities that produce baked goods, pasta, and tortillas. Workers mix ingredients to make dough, load and unload ovens, operate pasta extruders, and perform tasks specific to large-scale commercial baking. Some workers are identified by the type of food they produce. For example, those who prepare cheese are known as <em>cheese makers</em> and those who make candy are known as <em>candy<strong> </strong>makers</em>.</p>,<p><strong><em>Food cooking machine operators and tenders</em></strong> operate or tend cooking equipment to prepare food products. For example, potato and corn chip manufacturing workers operate baking and frying equipment.</p>,<p>Other workers operate machines that mix spices, mill grains, or extract oil from seeds.</p>",    ,    Food and Tobacco Processing Workers,"<li>Set up, start, or load food or tobacco processing equipment</li>,<li>Check, weigh, and mix ingredients according to recipes</li>,<li>Set and control temperatures, flow rates, and pressures of machinery</li>,<li>Monitor and adjust ingredient mixes during production processes</li>,<li>Observe and regulate equipment gauges and controls</li>,<li>Record batch production data</li>,<li>Clean workspaces and equipment in accordance with health and safety standards</li>,<li>Check final products to ensure quality</li>"
"<p>Arbitrators, mediators, and conciliators facilitate negotiation and dialogue between disputing parties to help resolve conflicts outside of the court system.</p>,<p>Arbitrators, mediators, and conciliators typically do the following:</p>,<p>Arbitrators, mediators, and conciliators help opposing parties settle disputes outside of court. They hold private, confidential hearings, which are less formal than a court trial.</p>,<p><strong><em>Arbitrators</em></strong> are usually <a href=""/ooh/legal/lawyers.htm""><u>attorneys</u></a>, business professionals, or retired <a href=""/ooh/legal/judges-and-hearing-officers.htm""><u>judges</u></a> with expertise in a particular field. As impartial third parties, they hear and decide disputes between opposing parties. Arbitrators may work alone or in a panel with other arbitrators. In some cases, arbitrators may decide procedural issues, such as what evidence may be submitted and when hearings will be held.</p>,<p>Arbitration may be required by law for some claims and disputes. When it is not required, the parties in dispute sometimes voluntarily agree to arbitration rather than proceed with litigation or a trial. In some cases, parties may appeal the arbitrator’s decision.</p>,<p><strong><em>Mediators</em></strong> are neutral parties who help people resolve their disputes. However, unlike arbitrators, they do not render binding decisions. Rather, mediators help facilitate discussion and guide the parties toward a mutually acceptable agreement. If the opposing sides cannot reach a settlement with the mediator’s help, they are free to pursue other options.</p>,<p><strong><em>Conciliators</em></strong> are similar to mediators. Although their role is to help guide opposing sides to a settlement, they typically meet with the parties separately. The opposing sides must decide in advance if they will be bound by the conciliator’s recommendations.</p>",    Bachelor's degree,"    Arbitrators, Mediators, and Conciliators","<li>Facilitate communication between disputants to guide parties toward mutual agreement</li>,<li>Clarify issues, concerns, needs, and interests of all parties involved</li>,<li>Conduct initial meetings with disputants to outline the arbitration process</li>,<li>Settle procedural matters such as fees, or determine details such as witness numbers and time requirements</li>,<li>Set up appointments for parties to meet for mediation or arbitration</li>,<li>Interview claimants, agents, or witnesses to obtain information about disputed issues</li>,<li>Prepare settlement agreements for disputants to sign</li>,<li>Apply relevant laws, regulations, policies, or precedents to reach conclusions</li>,<li>Evaluate information from documents such as claim applications, birth or death certificates, and physician or employer records</li>"
